
[00:00:00.020 --> 00:00:03.600]  欢迎收听谷爱,我是星风公,本集节目由雨伞王赞助
[00:00:03.600 --> 00:00:07.880]  投资最怕什么?不是股票跌,而是买到那种看起来很便宜的股票
[00:00:07.880 --> 00:00:10.740]  结果买了一直跌一直坏掉,一直跌一直坏掉
[00:00:10.740 --> 00:00:13.760]  其实雨伞也是,很多人买伞都只看价格
[00:00:13.760 --> 00:00:16.380]  结果一年买三支五支,最后花的更多
[00:00:16.380 --> 00:00:20.320]  雨伞王算是少数把雨伞当成耐用品在做的品牌
[00:00:20.320 --> 00:00:24.820]  全台超过33间门市,最大的特色是终身免费维修服务
[00:00:24.820 --> 00:00:26.840]  融资断头你只能被迫出厂
[00:00:26.840 --> 00:00:29.500]  雨伞断头还可以找雨伞王维修进场
[00:00:29.500 --> 00:00:30.560]  真的是很幸福
[00:00:30.560 --> 00:00:34.220]  最近台股创新高,股市超热,天气更热,太阳超毒
[00:00:34.220 --> 00:00:37.960]  中国交流区替补真的会挂掉,所以大家一定要做好防晒
[00:00:37.960 --> 00:00:41.400]  结果雨伞王最近为了提高本益比,也跨界转型
[00:00:41.400 --> 00:00:44.320]  推出了遮阳、挡雨、降温、保暖的新商品
[00:00:44.320 --> 00:00:47.400]  我觉得真正每天都会用到的科技其实是防晒
[00:00:47.400 --> 00:00:51.080]  毕竟CPU涨停不一定赚得到,紫外线你每天一定照得到
[00:00:51.080 --> 00:00:55.260]  Big Red的降温防晒伞,可以带来降温12度的体感
[00:00:55.260 --> 00:00:58.880]  极轻薄防晒外套,外出防晒透气超舒适
[00:00:59.000 --> 00:01:01.940]  有超帅的Super Thin超薄折叠墨镜
[00:01:01.940 --> 00:01:05.020]  也有为眼镜族准备的套近太阳眼镜
[00:01:05.020 --> 00:01:07.040]  都能够有效保护自己的眼睛
[00:01:07.040 --> 00:01:10.680]  毕竟每天钉盘已经伤眼了,出门至少不要再让太阳补刀
[00:01:10.680 --> 00:01:11.880]  好了,大概就是这样
[00:01:11.880 --> 00:01:15.780]  以上所有的商品抱上Mongolchika的名字都可以想最佳优惠
[00:01:15.780 --> 00:01:17.860]  透过资讯栏骨癌专属的链接
[00:01:17.860 --> 00:01:20.660]  输入我们的推荐代码GOOAYE
[00:01:20.660 --> 00:01:24.080]  不限期间想限定商品八九折优惠
[00:01:24.080 --> 00:01:27.360]  单笔消费满999再想超取免运费
[00:01:27.360 --> 00:01:28.500]  提供给所有需要的朋友们
[00:01:28.500 --> 00:01:29.060]  参考
[00:01:29.060 --> 00:01:32.760]  大概在一两集前有一位听众在Q&A跟我讲说
[00:01:32.760 --> 00:01:34.260]  可不可以去全联看一下
[00:01:34.260 --> 00:01:37.540]  有没有自己还蛮喜欢的红酒或者白酒
[00:01:37.540 --> 00:01:39.180]  来跟大家稍微的分享一下
[00:01:39.180 --> 00:01:41.740]  当然不想让自己感觉像是一个臭酒鬼
[00:01:41.740 --> 00:01:44.880]  因为我现在正在研究这个淋浴相关的内容
[00:01:44.880 --> 00:01:47.120]  自己也买了一个酒柜
[00:01:47.120 --> 00:01:49.940]  这个酒柜从以前到现在一直都是满的状态
[00:01:49.940 --> 00:01:52.140]  就即便是用很高速在消耗了
[00:01:52.140 --> 00:01:54.760]  可是都还是持续有新的东西在补
[00:01:54.760 --> 00:01:58.000]  像我现在我的酒柜就还欠17个空间
[00:01:58.000 --> 00:01:58.500]  这什么意思
[00:01:58.500 --> 00:01:59.960]  就是我后面有17瓶要进来
[00:01:59.960 --> 00:02:00.860]  然后现在是满的
[00:02:00.860 --> 00:02:02.260]  所以我就必须好好再快一点
[00:02:02.260 --> 00:02:03.680]  所以在这样的状况之下
[00:02:03.680 --> 00:02:06.200]  当然就没有办法把每一个都喝完
[00:02:06.200 --> 00:02:07.940]  主要多数的状况就是我可能就是喝一点
[00:02:07.940 --> 00:02:08.860]  然后其他的分给别人
[00:02:08.860 --> 00:02:10.360]  然后不然就是甚至拿去喂水草
[00:02:10.360 --> 00:02:12.540]  如果没那么喜欢的就不会强迫自己把它喝掉
[00:02:12.540 --> 00:02:15.580]  因为自己来的目的并不是要把自己灌醉
[00:02:15.580 --> 00:02:17.800]  而是想去尝遍各式各样的口味
[00:02:17.800 --> 00:02:19.780]  当听众给我这样子的任务的时候
[00:02:19.780 --> 00:02:21.120]  其实我自己也是非常好奇
[00:02:21.120 --> 00:02:23.180]  就是在全联可不可以找到有趣的东西
[00:02:23.180 --> 00:02:24.440]  我相信一定是可以
[00:02:24.440 --> 00:02:26.740]  因为像我自己岳母的男朋友
[00:02:26.740 --> 00:02:29.520]  他本身在意大利就是去做酒庄的
[00:02:29.520 --> 00:02:32.980]  那他的酒的售价大概就是几百块到千块之间
[00:02:32.980 --> 00:02:36.500]  那他也在意大利好几次都挑出了非常好喝的酒给我们喝
[00:02:36.500 --> 00:02:38.900]  那大概也就是落在几百块到一两千块之间
[00:02:38.900 --> 00:02:41.020]  但是这些酒其实到台湾
[00:02:41.020 --> 00:02:43.000]  它的价格都会相对的贵一点
[00:02:43.000 --> 00:02:44.840]  那我自己是觉得在台湾这边
[00:02:44.840 --> 00:02:47.660]  目前我自己试下来的一个甜蜜的位置
[00:02:47.660 --> 00:02:50.500]  大概是落在一两千块左右
[00:02:50.500 --> 00:02:52.100]  就是这个是对绝大多数人来说
[00:02:52.100 --> 00:02:53.940]  可能是CP值比较好的一个位置
[00:02:53.940 --> 00:02:56.160]  那当然一千块以下也是有很多选项
[00:02:56.160 --> 00:02:56.720]  那只是他可能
[00:02:56.720 --> 00:02:58.180]  就是喝起来比较像是水
[00:02:58.180 --> 00:03:01.300]  就是他并没有可能比较
[00:03:01.300 --> 00:03:02.200]  怎么讲
[00:03:02.200 --> 00:03:03.400]  丰富的尾韵
[00:03:03.400 --> 00:03:06.300]  然后再来就是香味可能会差强人意
[00:03:06.300 --> 00:03:08.100]  那如果说就算是有香味的
[00:03:08.100 --> 00:03:09.840]  像一些大家非常喜欢的
[00:03:09.840 --> 00:03:11.280]  很常见的那些牌子
