start	end	text
0	1620	欢迎收听谷外,我是星梦宫
1620	3780	本集节目由EVOASIS赞助
3780	7400	EVOASIS是原点科技旗下的充电服务品牌
7400	10080	股票代号7922,最近刚登陆新贵
10080	13720	我自己是电动车主,也去他们的林口站充电体验很好
13720	16360	有时候你开车在外面,最怕的其实不是没电
16360	17940	是找不到合适的充电站
17940	19920	或是到了之后还要再排很久
19920	23520	EVOASIS给的感觉是站点够多,操作直觉
23520	24800	随时补电很方便
24800	28480	整体流程很顺,对电动车主来说稳定性非常重要
28480	30480	现在他们持续在全台扩展
30480	32660	已经是全台最大的充电网
32660	34640	提供快充慢充,家用充电
34640	36700	还有跨品牌充电慢油服务
36700	39620	意思就是说不管你是平常通勤,假日出游
39620	42880	甚至是临时跑远一点,只要是EVOASIS的会员
42880	44760	都比较容易找到地方补电
44760	46260	不用一直焦虑剩几趴
46260	48000	尤其现在电动车越来越多
48000	51260	充电这个事情跟加油一样变成日常的一部分
51260	52920	那这样站点密度高
52920	54980	充电速度跟整体的便利性
54980	56880	就会直接影响到用车体验
56880	58260	如果说本来就是电车
58260	60820	车主或是正在考虑入手电动车
60820	62720	可以去了解一下EVOASIS
62720	64080	想要看最新的站点
64080	65680	充电费率跟活动资讯
65680	68280	可以直接下载EVOASIS的APP来查看看
68280	70040	以上为品牌合作资讯
70040	71440	不构成任何投资建议
71440	72840	有任何需要的朋友们
72840	73900	都可以在我们资讯栏找到
73900	76260	更多关于EVOASIS的说明与连结
76260	77800	时间过得非常快
77800	79740	2026就这样要过掉一半了
79740	81260	我相信大家应该都跟我一样
81260	83660	是抱持着一个非常震惊的心态
83660	85080	就连我现在讲这一段话
85080	86400	我都觉得有点吓到
86400	88240	就时间也过得太快了吧
88240	91300	在上半年不知道大家过得怎么样
91300	93280	不管是你的生活上还是工作上
93280	94840	我这边就简单的去做一下
94840	96840	自己上半年的一些总结
96840	98460	在下一期节目的时候
98460	100000	就会进入到7月1号
100000	101600	也就是下半年的开始
101600	102780	跟第三季的开始
102780	105320	那时候我们就把它当成是一个新的开始
105320	107120	有时候去稍微的总结一下
107120	108140	就可以去wrap it up
108140	109420	就是大概在过去一阵子
109420	110280	你自己的表现
110280	111780	如果是好的话
111780	113440	那就提醒自己不要膨胀
113440	114720	接下来就有新的挑战
114720	116080	如果是不好的话
116080	117560	那就重新的去整理一下
117560	118180	自己的情况
118240	120980	然后接着还是要再去面对新的挑战
120980	122300	那我自己的上半年
122300	125160	我是觉得可能算是我人生的高光时刻
125160	126480	不管是在工作
126480	128940	或者说在自己的生活方面
128940	130340	我都是算是非常的喜欢
130340	132060	也非常的感恩上天
132060	134120	或者是不管是什么不可知的力量
134120	136380	或者说身边的家人朋友
136380	137800	跟工作上的同业
137800	140360	总之就是算是收获到了一个
140360	141980	非常好的上半年
141980	143660	应该是在历史上会留名的
143660	145160	不管是哪一个层面
145160	146780	那现在讲在生活的层面
146780	147640	就是我认为
147640	150560	减重这个决定是非常好的
150560	152980	同时在自己的体能的提升上
152980	155760	我觉得也形成了一种那种飞轮的效应
155760	156920	就最早只是想说
156920	158640	反正那时候有注意到说
158640	159820	医师有提醒我
159820	162660	你已经有一点点的高血压的前期
162660	163920	所以可能要稍微注意一下
163920	164880	自己的饮食或什么的
164880	167100	那后来就是在对话之中得知到
167100	167760	他跟我讲说
167760	168840	你大概就降一公斤
168840	170400	就可以降一毫米拱住
170400	172700	那我说那我当然就直接用减重的方式
172700	173420	去做处理
173420	175600	那本来心态其实有点类似说
175600	176880	反正针就先打下去
176880	177600	那接着呢
177640	179980	反正大概能够降一点重量
179980	181180	稍微能够过关角
181180	182400	就这种得过且过
182400	184340	那可是后来针打下去之后
184340	185920	因为意识到自己的食量
185920	187100	完全没有受到影响
187100	188500	那时候身边还有一些大哥朋友
188500	189280	会跟我分享说
189280	190300	那个针打下去
190300	191720	你甚至连运动都不想动
191720	193340	什么性欲会变很低之类的
193340	196000	你妈的完全都只想当一摊烂肉之类的
196000	196680	所以你要注意
196680	198220	你可能会掉很多的肌肉
198220	200680	那就没想到自己算是相对幸运的
200680	201720	就是打这个针
201720	203060	没有什么不良的副作用
203060	204240	然后整天还是跑去运动
204240	205300	因为这样子
205300	207600	去接触了像是网球
207640	209820	然后以及功能性
209820	210860	或者机能性训练
210860	213260	那这个对我的人生的改变是非常大
213260	214640	就是一个小小的决定
214640	216140	可是从此以后
216140	217160	我觉得我生活形态
217160	217900	觉得就此改变
217900	218780	因为我自己是非常喜欢
218780	220440	下的一个形态跟样貌
220440	222060	那所以在身体上面
222060	223180	我觉得是做得非常好
223180	225180	那在自己的家人孩子的方面
225180	227040	孩子的身体检查
227040	228580	各种状况也都已经是
228580	230400	慢慢的去把它排除掉了
230400	232820	那所以下就是一个健康的孩子
232820	233540	以前就会觉得说
233540	234340	会不会这边有问题
234340	235140	那边有一个问题
235140	237320	那就整天会想要去跑医院
237320	238580	或是去做更多的
238580	240760	不管是要去获得医嘱
240760	242440	或是你要获得second opinion
242440	244000	反正就整天去往医院跑
244000	245440	那在这个上半年
245440	246540	也算是相对的
246540	247760	去把它给解决掉了
247760	249120	那在工作方面呢
249120	250540	更是非常的顺利啦
